"time"	"flux_1GHz"
"1"	920324895.568	40.237232208252
"2"	920324908.568	41.5836372375488
"3"	920324918.568	42.8076400756836
"4"	920324928.568	43.7868423461914
"5"	920324938.568	45.9900512695312
"6"	920324948.568	46.8468551635742
"7"	920324958.568	48.438060760498
"8"	920324968.568	48.8052597045898
"9"	920324978.568	49.5396614074707
"10"	920324988.568	50.0292625427246
"11"	920324998.568	50.0292625427246
"12"	920325008.568	48.3156585693359
"13"	920325018.568	48.927661895752
"14"	920325028.568	48.5604591369629
"15"	920325038.568	47.214054107666
"16"	920325048.568	46.3572540283203
"17"	920325058.568	46.6020545959473
"18"	920325068.568	46.6020545959473
"19"	920325078.568	45.6228485107422
"20"	920325088.568	46.3572540283203
"21"	920325098.568	45.3780479431152
"22"	920325108.568	45.3780479431152
"23"	920325118.568	45.0108489990234
"24"	920325128.568	45.6228485107422
"25"	920325138.568	45.8676490783691
"26"	920325148.568	44.7660484313965
"27"	920325158.568	45.3780479431152
"28"	920325168.568	45.6228485107422
"29"	920325178.568	45.2556495666504
"30"	920325188.568	45.7452507019043
"31"	920325198.568	46.1124496459961
"32"	920325208.568	45.8676490783691
"33"	920325218.568	46.7244529724121
"34"	920325228.568	45.8676490783691
"35"	920325238.568	46.6020545959473
"36"	920325248.568	46.1124496459961
"37"	920325258.568	45.8676490783691
"38"	920325268.568	47.214054107666
"39"	920325278.568	46.4796524047852
"40"	920325288.568	45.9900512695312
"41"	920325298.568	46.8468551635742
"42"	920325308.568	46.4796524047852
"43"	920325318.568	46.3572540283203
"44"	920325328.568	47.0916557312012
"45"	920325338.568	46.4796524047852
"46"	920325348.568	47.3364562988281
"47"	920325358.568	47.3364562988281
"48"	920325368.568	47.3364562988281
"49"	920325378.568	47.214054107666
"50"	920325388.568	47.3364562988281
"51"	920325398.568	47.3364562988281
"52"	920325408.568	48.3156585693359
"53"	920325418.568	48.070858001709
"54"	920325428.568	48.3156585693359
"55"	920325438.568	48.682861328125
"56"	920325448.568	48.070858001709
"57"	920325458.568	47.3364562988281
"58"	920325468.568	48.438060760498
"59"	920325478.568	48.438060760498
"60"	920325488.568	48.3156585693359
"61"	920325498.568	49.9068641662598
"62"	920325508.568	48.682861328125
"63"	920325518.568	48.682861328125
"64"	920325528.568	48.682861328125
"65"	920325538.568	49.4172630310059
"66"	920325548.568	48.682861328125
"67"	920325558.568	49.1724624633789
"68"	920325568.568	49.6620635986328
"69"	920325578.568	50.0292625427246
"70"	920325588.568	50.5188674926758
"71"	920325598.568	50.2740631103516
"72"	920325608.568	49.7844619750977
"73"	920325618.568	50.7636680603027
"74"	920325628.568	50.3964653015137
"75"	920325638.568	50.5188674926758
"76"	920325648.568	51.0084686279297
"77"	920325658.568	49.7844619750977
"78"	920325668.568	50.8860664367676
"79"	920325678.568	49.9068641662598
"80"	920325688.568	50.3964653015137
"81"	920325698.568	50.6412658691406
"82"	920325708.568	50.1516647338867
"83"	920325718.568	49.7844619750977
"84"	920325728.568	50.3964653015137
"85"	920325738.568	49.9068641662598
"86"	920325748.568	50.0292625427246
"87"	920325758.568	49.9068641662598
"88"	920325768.568	50.2740631103516
"89"	920325778.568	49.6620635986328
"90"	920325788.568	49.5396614074707
"91"	920325798.568	50.0292625427246
"92"	920325808.568	49.6620635986328
"93"	920325818.568	49.9068641662598
"94"	920325828.568	49.7844619750977
"95"	920325838.568	49.6620635986328
"96"	920325848.568	49.0500602722168
"97"	920325858.568	48.927661895752
"98"	920325868.568	49.5396614074707
"99"	920325878.568	48.070858001709
"100"	920325888.568	48.1932563781738
"101"	920325898.568	48.070858001709
"102"	920325908.568	48.927661895752
"103"	920325918.568	48.3156585693359
"104"	920325928.568	47.9484558105469
"105"	920325938.568	47.3364562988281
"106"	920325948.568	47.458854675293
